325596,Horrible Disney Customer Service,06/05/2015,2015-05-06,2:46:43 PM,Customer Care Call,Atlanta,Georgia,30339,Solved,No;;,Closed,5,horrible disney customer service,Network
327291,Data Cap,06/07/2015,2015-07-06,10:01:52 AM,Internet,Atlanta,Georgia,30309,Solved,No;;,Closed,7,data cap,Network
334035,Bad Customer Service,06/10/2015,2015-10-06,10:24:00 PM,Internet,Atlanta,Georgia,30331,Solved,No;;,Closed,10,bad customer service,Network
340637,disconnection of service,15/06/2015,2015-06-15,10:56:55 AM,Customer Care Call,Atlanta,Georgia,30306,Solved,No;;,Closed,6,disconnection of service,Internet
341535,Disney Data Usage Charges,15/06/2015,2015-06-15,3:39:09 PM,Customer Care Call,Atlanta,Georgia,30309,Open,No;;,Open,6,disney data usage charges,Billing
350016,Disney refuses service to my address,18/06/2015,2015-06-18,4:45:38 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No;;,Closed,6,disney refuses service to my address,Network
349567,Disney will not let me discuss my bill or service with a representative,18/06/2015,2015-06-18,3:36:45 PM,Customer Care Call,Atlanta,Georgia,30324,Solved,No;;,Closed,6,disney will not let me discuss my bill or service with a representative,Billing
349716,Disney billing frauds,18/06/2015,2015-06-18,3:53:05 PM,Internet,Atlanta,Georgia,30328,Solved,No;;,Closed,6,disney billing frauds,Billing
354254,Disney TV/Internet hookup,20/06/2015,2015-06-20,7:16:33 PM,Internet,Atlanta,Georgia,30341,Solved,No;;,Closed,6,disney tv/internet hookup,Internet
355121,no service for 5+ days,22/06/2015,2015-06-22,9:05:33 AM,Internet,Atlanta,Georgia,30341,Solved,No;;,Closed,6,no service for 5+ days,Network
357856,Disney - Billing,23/06/2015,2015-06-23,11:35:54 AM,Customer Care Call,Atlanta,Georgia,30363,Open,No;;,Open,6,disney - billing,Billing
359719,Disney Internet,23/06/2015,2015-06-23,6:27:47 PM,Customer Care Call,Atlanta,Georgia,30307,Solved,No;;,Closed,6,disney internet,Internet
359260,Disney speed integrity,23/06/2015,2015-06-23,4:30:18 PM,Customer Care Call,Atlanta,Georgia,30308,Pending,No;;,Open,6,disney speed integrity,Internet
358601,Data cap,23/06/2015,2015-06-23,2:21:23 PM,Internet,Atlanta,Georgia,30306,Pending,No;;,Open,6,data cap,Network
362076,Disney Atlanta Data Caps,24/06/2015,2015-06-24,2:13:31 PM,Internet,Atlanta,Georgia,30306,Pending,No;;,Open,6,disney atlanta data caps,Network
362097,Disney Atlanta Data Caps,24/06/2015,2015-06-24,2:18:32 PM,Internet,Atlanta,Georgia,30324,Pending,No;;,Open,6,disney atlanta data caps,Network
363616,Disney Poor Customer Service,24/06/2015,2015-06-24,10:28:58 PM,Internet,Atlanta,Georgia,30345,Open,No;;,Open,6,disney poor customer service,Network
361720,Overage on 300GB data plan with Disney,24/06/2015,2015-06-24,12:39:59 PM,Customer Care Call,Atlanta,Georgia,30306,Solved,No;;,Closed,6,overage on 300gb data plan with disney,Network
362223,Disney bill,24/06/2015,2015-06-24,2:43:13 PM,Customer Care Call,Atlanta,Georgia,30316,Solved,No;;,Closed,6,disney bill,Billing
363102,Disney Data Cap,24/06/2015,2015-06-24,6:24:57 PM,Customer Care Call,Atlanta,Georgia,30328,Pending,No;;,Open,6,disney data cap,Network
363235,Unfair Billing Practices,24/06/2015,2015-06-24,7:12:16 PM,Internet,Atlanta,Georgia,30307,Solved,No;;,Closed,6,unfair billing practices,Billing
363424,Disney data caps,24/06/2015,2015-06-24,8:42:06 PM,Customer Care Call,Atlanta,Georgia,30327,Solved,No;;,Closed,6,disney data caps,Network
365321,Disney Refusing to Honor Internet Rate,25/06/2015,2015-06-25,2:08:35 PM,Internet,Atlanta,Georgia,30324,Solved,No;;,Closed,6,disney refusing to honor internet rate,Internet
363860,speed,25/06/2015,2015-06-25,7:33:58 AM,Internet,Atlanta,Georgia,30316,Open,No;;,Open,6,speed,Internet
368838,Not Acceptable Internet Additional Charge.,26/06/2015,2015-06-26,4:42:51 PM,Customer Care Call,Atlanta,Georgia,30339,Solved,No;;,Closed,6,not acceptable internet additional charge.,Internet
367718,Disney internet and cable service,26/06/2015,2015-06-26,11:02:54 AM,Customer Care Call,Atlanta,Georgia,30316,Open,Yes;;,Open,6,disney internet and cable service,Internet
372331,Disney Data Caps,29/06/2015,2015-06-29,1:49:15 PM,Internet,Atlanta,Georgia,30324,Pending,Yes;;,Open,6,disney data caps,Network
373205,Disney: Xfinity Slamming,29/06/2015,2015-06-29,5:41:37 PM,Internet,Atlanta,Georgia,30315,Closed,No;;,Closed,6,disney: xfinity slamming,Other
375377,Disney Support Unable to Provide Accurate Information,30/06/2015,2015-06-30,4:17:34 PM,Internet,Atlanta,Georgia,30328,Open,No;;,Open,6,disney support unable to provide accurate information,Billing
373977,Disney Data Usage Limits,30/06/2015,2015-06-30,8:14:37 AM,Internet,Atlanta,Georgia,30342,Pending,No;;,Open,6,disney data usage limits,Network
344456,Repeated Erroneous Modem Rental Charge,16/06/2015,2015-06-16,8:17:10 PM,Customer Care Call,Atlanta,Georgia,30308,Solved,No;;,Closed,6,repeated erroneous modem rental charge,Internet
374159,Xfinity pricing,30/06/2015,2015-06-30,10:33:18 AM,Customer Care Call,Atlantic Beach,Florida,32233,Solved,No;;,Closed,6,xfinity pricing,Billing
359224,Disney monopoly,23/06/2015,2015-06-23,4:22:19 PM,Internet,Attalla,Alabama,35954,Solved,No;;,Closed,6,disney monopoly,Company or Marketing
274956,Internet connection both upload and download speeds,05/05/2015,2015-05-05,7:34:03 PM,Customer Care Call,Attica,Indiana,47918,Open,No;;,Open,5,internet connection both upload and download speeds,Internet
338651,Internet Availability,13/06/2015,2015-06-13,1:07:20 AM,Internet,Attica,Michigan,48412,Open,No;;,Open,6,internet availability,Internet
221984,Complaint against Disney,04/07/2015,2015-07-04,2:43:14 PM,Internet,Auburn,Pennsylvania,17922,Closed,No;;,Closed,7,complaint against disney,Service Complaints
346885,Disney,17/06/2015,2015-06-17,6:17:59 PM,Internet,Auburn,Washington,98092,Open,No;;,Open,6,disney,Other
359070,Disney (Xfinity) Monopolistic Billing Practices,23/06/2015,2015-06-23,3:49:46 PM,Internet,Auburn,Washington,98092,Closed,No;;,Closed,6,disney (xfinity) monopolistic billing practices,Billing
372769,Internet Throttling,29/06/2015,2015-06-29,3:47:44 PM,Internet,Auburn,Washington,98092,Solved,No;;,Closed,6,internet throttling,Internet
311239,Data Usage Overage,28/05/2015,2015-05-28,12:16:01 PM,Internet,Augusta,Georgia,30907,Solved,Yes;;,Closed,5,data usage overage,Network
339371,double billing after change of service,13/06/2015,2015-06-13,5:24:59 PM,Internet,Augusta,Georgia,30904,Solved,Yes;;,Closed,6,double billing after change of service,Billing
360222,Bandwidth Caps becoming excessive,23/06/2015,2015-06-23,9:36:55 PM,Internet,Augusta,Georgia,30907,Solved,No;;,Closed,6,bandwidth caps becoming excessive,Network
370518,Disney data limits,27/06/2015,2015-06-27,8:32:23 PM,Customer Care Call,Augusta,Georgia,30904,Solved,Yes;;,Closed,6,disney data limits,Network
335988,Unable to cancel xfinity home security,06/11/2015,2015-11-06,9:11:33 PM,Customer Care Call,Aurora,Colorado,80012,Solved,No;;,Closed,11,unable to cancel xfinity home security,Other
361604,Disney trying to setup stuff we didn't order,24/06/2015,2015-06-24,12:16:47 PM,Customer Care Call,Aurora,Colorado,80011,Solved,No;;,Closed,6,disney trying to setup stuff we didn't order,Other
369583,Terrible waiting times,27/06/2015,2015-06-27,1:21:11 AM,Internet,Aurora,Colorado,80014,Solved,Yes;;,Closed,6,terrible waiting times,Network
342399,Incorrect prices for new customers,15/06/2015,2015-06-15,9:50:41 PM,Customer Care Call,Aurora,Illinois,60503,Open,No;;,Open,6,incorrect prices for new customers,Billing
359858,Disney is throttling my internet,23/06/2015,2015-06-23,7:16:40 PM,Customer Care Call,Aurora,Illinois,60503,Pending,No;;,Open,6,disney is throttling my internet,Internet
363993,Internet Pricing,25/06/2015,2015-06-25,9:30:43 AM,Customer Care Call,Aurora,Illinois,60502,Open,No;;,Open,6,internet pricing,Internet
223256,MISC. CHARGES,04/08/2015,2015-08-04,7:51:06 AM,Customer Care Call,Austell,Georgia,30106,Closed,No;;,Closed,8,misc. charges,Billing
375093,Comast data cap,30/06/2015,2015-06-30,3:07:14 PM,Customer Care Call,Austell,Georgia,30168,Pending,No;;,Open,6,comast data cap,Network
347937,Disney throttles internet,18/06/2015,2015-06-18,9:15:45 AM,Customer Care Call,Austin,Texas,78731,Open,No;;,Open,6,disney throttles internet,Internet
360286,throttling,23/06/2015,2015-06-23,10:07:17 PM,Internet,Avon,Colorado,81620,Pending,Yes;;,Open,6,throttling,Internet
279378,Forced Bundling of Internet Service with CATV,05/07/2015,2015-07-05,9:16:13 PM,Customer Care Call,Ayer,Massachusetts,1432,Open,No;;,Open,7,forced bundling of internet service with catv,Internet
301854,Disney Internet,21/05/2015,2015-05-21,4:31:00 PM,Customer Care Call,Baden,Pennsylvania,15005,Closed,Yes;;,Closed,5,disney internet,Internet
306805,Failure to deliver service,26/05/2015,2015-05-26,11:29:54 AM,Customer Care Call,Bainbridge Island,Washington,98110,Solved,No;;,Closed,5,failure to deliver service,Network
373653,Disney HBO Go PS4 app,29/06/2015,2015-06-29,8:40:56 PM,Customer Care Call,Bainbridge Island,Washington,98110,Pending,No;;,Open,6,disney hbo go ps4 app,Other
304583,Disney's refusal to recognize written notice of termination of service,23/05/2015,2015-05-23,10:37:56 AM,Customer Care Call,Bala Cynwyd,Pennsylvania,19004,Solved,No;;,Closed,5,disney's refusal to recognize written notice of termination of service,Network
324795,Rates,06/05/2015,2015-05-06,9:59:39 AM,Internet,Bala Cynwyd,Pennsylvania,19004,Closed,No;;,Closed,5,rates,Billing
348338,Termination Fee,18/06/2015,2015-06-18,11:14:49 AM,Internet,Ballston Lake,New York,12019,Solved,No;;,Closed,6,termination fee,Billing
241422,Disney internet/cable,17/04/2015,2015-04-17,1:21:20 PM,Internet,Baltimore,Maryland,21224,Closed,No;;,Closed,4,disney internet/cable,Internet
252368,I AM BEING CHARGE DOUBLE FOR MY CABLE BILL.,23/04/2015,2015-04-23,12:56:29 PM,Customer Care Call,Baltimore,Maryland,21207,Open,No;;,Open,4,i am being charge double for my cable bill.,Internet
259003,REPEATED Disney billing issues,27/04/2015,2015-04-27,1:35:21 PM,Customer Care Call,Baltimore,Maryland,21239,Closed,No;;,Closed,4,repeated disney billing issues,Billing
312881,unauthorized Disney username setup,29/05/2015,2015-05-29,6:31:23 AM,Customer Care Call,Baltimore,Maryland,21206,Open,No;;,Open,5,unauthorized disney username setup,Other
319505,Services turned off in retaliation for complaints,06/02/2015,2015-02-06,5:14:14 PM,Customer Care Call,Baltimore,Maryland,21218,Closed,No;;,Closed,2,services turned off in retaliation for complaints,Network
